Year,Player,G,MP,Pos,TRB,AST,STL,BLK,PTS,TS%,3PAr,FTr,WS,OBPM,DBPM,VORP,DraftYear,DraftPick,ALL_STAR
2001,Kenyon Martin,68,33.4,PF,7.4,1.9,1.1,1.7,12.0,0.472,0.014,0.247,2.1,-2.1,0.4,0.2,2000,1,1
2001,Stromile Swift,80,16.4,PF,3.6,0.4,0.8,1.0,4.9,0.487,0.012,0.416,1.9,-2.9,0.9,0.0,2000,2,0
2001,Darius Miles,81,26.3,SF,5.9,1.2,0.6,1.5,9.4,0.518,0.03,0.378,3.0,-1.3,0.8,0.8,2000,3,0
2001,Marcus Fizer,72,21.9,PF,4.3,1.1,0.4,0.3,9.5,0.476,0.06,0.249,-0.7,-3.3,-2.8,-1.6,2000,4,0
2001,Mike Miller,82,29.1,SF,4.0,1.7,0.6,0.2,11.9,0.541,0.431,0.151,5.3,0.7,-0.9,1.0,2000,5,0
2001,DerMarr Johnson,78,16.8,SF,2.3,0.8,0.6,0.4,5.1,0.463,0.326,0.223,0.0,-2.8,-0.8,-0.5,2000,6,0
2001,Chris Mihm,59,19.8,C,4.7,0.3,0.3,0.9,7.6,0.5,0.003,0.322,1.3,-2.9,-1.3,-0.7,2000,7,0
2001,Jamal Crawford,61,17.2,PG,1.5,2.3,0.7,0.2,4.6,0.442,0.385,0.112,-0.9,-2.9,-1.5,-0.6,2000,8,0
2001,Joel Przybilla,33,8.2,C,2.2,0.1,0.1,0.9,0.8,0.339,0.0,0.314,0.1,-6.8,0.6,-0.3,2000,9,0
2001,Keyon Dooling,76,16.3,PG,1.2,2.3,0.5,0.1,5.9,0.509,0.221,0.494,1.4,-1.5,-0.9,-0.2,2000,10,0
2001,Jérôme Moïso,24,5.6,C,1.8,0.1,0.1,0.2,1.5,0.422,0.033,0.867,-0.3,-9.5,-0.8,-0.3,2000,11,0
2003,Etan Thomas,38,13.5,PF,4.3,0.1,0.2,0.6,4.8,0.55,0.0,0.758,1.3,-1.5,-1.5,-0.1,2002,12,0
2001,Courtney Alexander,65,21.3,PG, 2.2,1.0,0.7,0.1,9.5, 0.484,0.08,0.262,0.8,-2.4,-1.9,-0.8,2000,13,0
2001,Mateen Cleaves,78,16.3,PG,1.7,2.7,0.6,0.0,5.4,0.458,0.043,0.343,-0.1,-4.5,-0.7,-1.0,2000,14,0
2002,Kwame Brown,57,14.3,PF,3.5,0.8,0.3,0.5,4.5,0.45,0.004,0.407,0.8,-3.1,-0.9,-0.4,2001,1,0
2002,Tyson Chandler,71,19.6,C,4.8,0.8,0.4,1.3,6.1,0.543,0.0,0.73,1.8,-3.3,-0.2,-0.5,2001,2,1
2002,Pau Gasol,82,36.7,C,8.9,2.7,0.5,2.1,17.6,0.566,0.005,0.448,7.6,1.5,0.2,2.8,2001,3,1
2002,Eddy Curry,72,16.0,C,3.8,0.3,0.2,0.7,6.7,0.54,0.0,0.424,1.8,-2.4,-1.9,-0.7,2001,4,0
2002,Jason Richardson,80,32.9,SG,4.3,3.0,1.3,0.4,14.4,0.487,0.226,0.193,2.9,0.1,-1.0,0.7,2001,5,0
2002,Shane Battier,78,39.7,SF,5.4,2.8,1.6,1.0,14.4,0.518,0.287,0.294,4.8,0.2,0.3,1.9,2001,6,0
2002,Eddie Griffin,73,26.0,PF,5.7,0.7,0.2,1.8,8.8,0.456,0.41,0.129,2.4,-0.3,-0.6,0.5,2001,7,0
2002,DeSagana Diop,18,6.1,C,0.9,0.3,0.1,0.6,1.4,0.401,0.0,0.172,-0.3,-9.4,-0.2,-0.2,2001,8,0
2002,Rodney White,16,8.1,SF,1.1,0.8,0.6,0.1,3.5,0.423,0.15,0.233,-0.2,-4.7,0.2,-0.1,2001,9,0
2002,Joe Johnson,77,24.9,SG,3.3,2.3,0.8,0.3,7.5,0.478,0.223,0.091,3.0,-1.2,0.5,0.6,2001,10,1
2002,Kedrick Brown,29,8.4,SF,1.7,0.5,0.6,0.2,2.2,0.4,0.386,0.286,0.4,-2.3,3.1,0.2,2001,11,0
2002,Vladimir Radmanović,61,20.2,PF,3.8,1.3,0.9,0.4,6.7,0.528,0.444,0.203,2.1,-0.2,0.8,0.8,2001,12,0
2002,Richard Jefferson,79,24.3,SF,3.7,1.8,0.8,0.6,9.4,0.524,0.095,0.448,4.7,-1.3,0.9,0.8,2001,13,0
2002,Troy Murphy,82,17.7,PF,3.9,0.9,0.4,0.3,5.9,0.488,0.021,0.369,1.4,-3.3,-1.0,-0.8,2001,14,0
2003,Yao Ming,82,29.0,C,8.2,1.7,0.4,1.8,13.5,0.57,0.002,0.461,8.7,1.3,0.9,2.5,2002,1,1
2003,Jay Williams,75,26.1,PG,2.6,4.7,1.1,0.2,9.5,0.472,0.295,0.235,0.8,-1.3,-0.8,0.0,2002,2,0
2003,Mike Dunleavy,82,15.9,SF,2.6,1.3,0.6,0.2,5.7,0.505,0.36,0.24,1.5,-0.3,-0.5,0.4,2002,3,0
2003,Drew Gooden,70,26.8,SF-PF,6.5,1.2,0.8,0.5,12.5,0.503,0.062,0.273,1.7,-1.1,-1.9,-0.4,2002,4,0
2003,Nikoloz Tskitishvili,81,16.3,SF,2.2,1.1,0.4,0.4,3.9,0.374,0.387,0.165,-1.0,-4.9,-0.7,-1.2,2002,5,0
2003,Dajuan Wagner,47,29.5,SG,1.7,2.8,0.8,0.1,13.4,0.466,0.288,0.264,0.3,-1.9,-2.8,-0.9,2002,6,0
