Player,TEAM,AGE,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_corner_three,FGA_corner_three,FG%_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
Aaron Gordon,ORL,23,243,383,63.4,48,140,34.3,58,176,33.0,17,52,32.7,19,40,47.5,36,92,39.1,85,251,33.9
Aaron Holiday,IND,22,30,52,57.7,13,36,36.1,19,47,40.4,2,6,33.3,3,10,30.0,5,16,31.3,38,110,34.5
Abdel Nader,OKC,25,43,78,55.1,14,30,46.7,2,8,25.0,6,20,30.0,9,20,45.0,15,40,37.5,17,58,29.3
Al Horford,BOS,33,148,206,71.8,73,143,51.0,93,170,54.7,4,9,44.4,2,12,16.7,6,21,28.6,67,182,36.8
Al-Farouq Aminu,POR,28,134,222,60.4,20,57,35.1,7,35,20.0,15,46,32.6,17,48,35.4,32,94,34.0,64,185,34.6
Alan Williams,BKN,26,4,5,80.0,3,6,50.0,1,1,100,0,0,0.0,0,0,0.0,0,0,,0,1,0.0
Alec Burks,SAC,27,89,157,56.7,20,77,26.0,22,72,30.6,8,24,33.3,4,10,40.0,12,34,35.3,49,132,37.1
Alex Abrines,OKC,25,10,18,55.6,0,2,0.0,5,10,50.0,5,15,33.3,5,12,41.7,10,27,37.0,31,98,31.6
Alex Caruso,LAL,25,40,80,50.0,7,25,28.0,6,18,33.3,3,7,42.9,1,5,20.0,4,12,33.3,20,38,52.6
Alex Len,ATL,26,214,345,62.0,23,68,33.8,9,31,29.0,14,40,35.0,24,64,37.5,38,104,36.5,36,99,36.4
Alex Poythress,ATL,25,30,53,56.6,1,3,33.3,0,2,0.0,4,11,36.4,4,7,57.1,8,18,44.4,1,5,20.0
Alfonzo McKinnie,GSW,26,79,119,66.4,7,19,36.8,6,19,31.6,16,37,43.2,6,26,23.1,22,63,34.9,20,55,36.4
Alize Johnson,IND,23,2,6,33.3,1,3,33.3,0,5,0.0,1,1,100,0,0,0.0,1,1,100,0,1,0.0
Allen Crabbe,BKN,27,20,36,55.6,7,26,26.9,13,53,24.5,15,29,51.7,15,32,46.9,30,61,49.2,67,195,34.4
Allonzo Trier,NYK,23,118,212,55.7,15,49,30.6,47,125,37.6,3,11,27.3,5,11,45.5,8,22,36.4,44,110,40.0
Amile Jefferson,ORL,26,9,12,75.0,1,4,25.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Amir Johnson,PHI,32,52,75,69.3,13,38,34.2,2,4,50.0,0,3,0.0,1,4,25.0,1,7,14.3,11,32,34.4
Andre Drummond,DET,25,459,745,61.6,88,232,37.9,9,37,24.3,1,4,25.0,0,3,0.0,1,7,14.3,4,24,16.7
Andre Iguodala,GSW,35,90,108,83.3,5,17,29.4,8,33,24.2,11,31,35.5,14,30,46.7,25,61,41.0,23,82,28.0
Andre Ingram,LAL,33,0,0,0.0,0,1,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,2,0.0
Andrew Bogut,GSW,34,13,24,54.2,4,10,40.0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Andrew Harrison,NOP,24,8,14,57.1,2,5,40.0,1,9,11.1,0,1,0.0,1,3,33.3,1,4,25.0,4,20,20.0
Andrew Wiggins,MIN,24,210,360,58.3,60,184,32.6,111,320,34.7,23,39,59.0,6,22,27.3,29,61,47.5,88,282,31.2
Anfernee Simons,POR,20,9,12,75.0,3,10,30.0,6,12,50.0,2,5,40.0,0,0,0.0,2,5,40.0,8,24,33.3
Angel Delgado,LAC,24,1,4,25.0,0,1,0.0,0,0,0.0,0,0,0.0,,,,0,0,,0,0,0.0
Ante Zizic,CLE,22,135,206,65.5,34,91,37.4,14,34,41.2,0,0,0.0,0,0,0.0,0,0,,0,0,0.0
Anthony Davis,NOP,26,307,429,71.6,92,218,42.2,83,234,35.5,5,6,83.3,1,5,20.0,6,11,54.5,42,133,31.6
Anthony Tolliver,MIN,34,12,25,48.0,2,9,22.2,4,9,44.4,10,29,34.5,11,32,34.4,21,61,34.4,60,155,38.7
Antonio Blakeney,CHI,22,41,66,62.1,49,117,41.9,41,123,33.3,16,31,51.6,4,8,50.0,20,39,51.3,15,50,30.0
Aron Baynes,BOS,32,63,115,54.8,13,28,46.4,8,19,42.1,2,5,40.0,2,6,33.3,4,11,36.4,17,50,34.0
Austin Rivers,HOU,26,89,149,59.7,35,85,41.2,4,11,36.4,10,42,23.8,13,32,40.6,23,74,31.1,81,252,32.1
Avery Bradley,MEM,28,50,107,46.7,25,66,37.9,87,192,45.3,24,64,37.5,11,28,39.3,35,92,38.0,51,148,34.5
