TEAM,SEASON,FGM_restricted,FGA_restricted,FG%_restricted,FGM_paint_non_ra,FGA_paint_non_ra,FG%_paint_non_ra,FGM_mid_range,FGA_mid_range,FG%_mid_range,FGM_left_corner_three,FGA_left_corner_three,FG%_left_corner_three,FGM_right_corner_three,FGA_right_corner_three,FG%_right_corner_three,FGM_above_the_break_three,FGA_above_the_break_three,FG%_above_the_break_three
Atlanta Hawks,2018-19,20.4,33.5,61.1,5.1,13.6,37.8,2.8,7.8,36.3,1.7,4.5,37.3,2.2,5.4,40.6,9.1,26.9,34.0
Boston Celtics,2018-19,16.7,26.0,64.4,5.7,13.3,42.7,7.1,16.8,42.3,1.5,3.6,41.8,1.1,3.8,28.2,10.0,27.0,37.1
Brooklyn Nets,2018-19,18.9,30.8,61.2,5.5,14.6,37.6,3.2,8.2,38.8,1.3,3.5,38.5,1.3,3.7,35.9,10.0,28.7,34.9
Charlotte Hornets,2018-19,17.6,29.6,59.4,5.8,14.3,40.9,4.9,12.1,40.6,1.4,3.8,36.7,1.4,3.2,45.4,9.1,26.5,34.2
Chicago Bulls,2018-19,18.3,30.5,60.0,7.1,17.0,41.5,5.4,14.5,37.1,1.4,3.5,38.9,1.0,2.5,41.8,6.7,19.7,33.9
Cleveland Cavaliers,2018-19,16.1,27.0,59.7,6.1,15.9,38.5,6.3,15.6,40.5,1.5,3.7,39.9,0.9,2.8,32.0,8.0,22.6,35.4
Dallas Mavericks,2018-19,17.1,26.4,65.0,5.1,13.1,39.1,4.1,10.8,37.9,1.4,3.6,39.5,1.5,3.9,37.5,9.6,28.8,33.3
Denver Nuggets,2018-19,18.3,29.0,63.3,7.7,17.8,43.3,4.9,12.0,41.1,1.4,3.5,38.5,1.2,2.8,41.1,8.4,24.7,34.1
Detroit Pistons,2018-19,16.9,27.9,60.7,5.5,14.9,37.0,4.3,10.8,40.2,1.9,5.0,38.3,1.6,4.3,37.8,8.6,25.2,34.1
Golden State Warriors,2018-19,16.8,24.9,67.8,4.8,10.9,43.8,9.2,19.6,46.9,1.6,3.8,43.0,1.4,3.3,42.0,10.2,27.1,37.7
Houston Rockets,2018-19,16.8,26.4,63.8,4.2,10.8,39.0,2.1,4.8,43.2,1.7,4.7,37.0,2.5,6.7,36.8,11.9,33.8,35.2
Indiana Pacers,2018-19,18.9,30.4,62.4,5.5,12.9,42.6,7.4,18.4,40.3,1.5,3.5,43.4,1.1,2.7,42.2,6.8,19.1,35.9
LA Clippers,2018-19,18.8,31.1,60.6,6.8,16.6,40.9,5.7,14.1,40.1,1.3,3.3,39.8,1.1,2.5,43.2,7.6,19.8,38.5
Los Angeles Lakers,2018-19,23.2,35.8,64.6,4.7,12.6,36.9,4.4,11.1,39.7,1.2,3.5,34.0,1.2,3.4,35.6,7.9,23.9,33.1
Memphis Grizzlies,2018-19,16.3,26.4,61.9,6.8,16.7,40.9,4.9,12.5,39.5,1.4,3.7,37.2,1.2,3.4,34.5,7.4,21.7,33.9
Miami Heat,2018-19,18.3,29.2,62.6,6.2,15.5,39.9,3.9,11.0,35.3,2.1,4.9,42.0,1.3,3.9,32.2,8.0,23.3,34.2
Milwaukee Bucks,2018-19,22.6,34.1,66.2,4.1,10.5,38.9,3.2,8.4,38.6,1.4,3.8,37.2,1.5,4.0,39.1,10.5,30.4,34.7
Minnesota Timberwolves,2018-19,18.5,29.4,62.9,6.3,16.0,39.3,6.8,17.2,39.7,1.3,3.4,38.9,1.2,3.2,37.7,7.5,21.9,34.3
New Orleans Pelicans,2018-19,21.5,33.2,64.7,7.6,17.6,43.4,4.4,11.7,37.4,1.3,3.3,38.0,1.0,3.1,31.9,7.9,23.1,34.2
New York Knicks,2018-19,17.4,30.0,57.9,4.7,12.5,37.3,6.2,16.4,37.8,0.9,2.5,33.8,1.0,2.8,35.1,8.2,24.0,34.0
Oklahoma City Thunder,2018-19,21.0,34.0,61.8,4.9,13.3,37.0,5.4,14.2,38.0,1.4,4.1,34.9,1.9,4.7,39.9,8.0,23.5,34.1
Orlando Magic,2018-19,16.3,25.5,63.9,5.7,14.0,40.6,7.0,17.5,40.2,1.5,4.1,36.9,1.0,2.4,40.1,9.0,25.3,35.3
Philadelphia 76ers,2018-19,19.0,28.8,65.9,5.7,14.2,40.3,6.0,15.1,40.0,1.0,2.3,41.2,1.2,3.5,35.4,8.7,24.3,35.7
Phoenix Suns,2018-19,18.4,29.1,63.2,6.5,15.1,43.0,5.6,13.9,40.3,1.2,3.6,34.1,1.2,3.6,32.4,7.2,21.9,33.0
Portland Trail Blazers,2018-19,19.7,32.7,60.4,4.9,12.0,41.2,6.6,15.3,43.6,1.0,2.6,38.9,0.8,2.4,33.2,9.2,25.6,36.0
Sacramento Kings,2018-19,18.9,30.0,63.0,7.0,17.9,39.1,6.0,15.3,39.1,1.4,3.4,40.1,1.2,3.0,38.9,8.8,23.4,37.5
San Antonio Spurs,2018-19,14.0,21.5,65.2,7.6,16.8,45.4,10.8,24.9,43.3,1.1,2.5,45.1,1.2,2.7,46.2,7.5,19.9,37.9
Toronto Raptors,2018-19,18.3,28.6,63.9,5.9,13.8,42.9,5.6,12.8,43.5,2.1,5.0,42.4,2.0,4.7,42.8,8.3,23.9,34.5
Utah Jazz,2018-19,20.2,31.0,65.1,4.7,12.5,37.6,3.4,8.8,38.7,2.0,5.2,39.6,1.8,5.0,36.0,8.2,23.6,34.9
Washington Wizards,2018-19,20.5,30.8,66.6,4.5,11.5,39.3,5.8,14.5,39.9,1.2,3.7,32.0,1.6,4.0,40.7,8.5,25.5,33.5
Atlanta Hawks,2017-18,16.4,27.0,60.8,4.2,11.8,36.0,6.4,15.8,40.3,1.7,4.3,39.6,1.7,3.7,46.1,7.7,22.6,34.1
